Product Name,Brand,Skin Concern,Severity,Ingredients,Product Type,Skin Type,Price,Customer Rating,Reviews,Availability,Feature_Blob
The Ordinary Exfoliator,La Roche-Posay,"Papules, Whiteheads",Low,Benzoyl Peroxide  Salicylic Acid  Hyaluronic Acid  Retinol,Toner,oily,2255.88,4.2,433,"Sephora, Dermstore","Papules, Whiteheads Low Benzoyl Peroxide  Salicylic Acid  Hyaluronic Acid  Retinol Toner"
Innisfree Moisturizer,CeraVe,Blackheads,Low,Lactic Acid  Salicylic Acid  Niacinamide  Zinc PCA,Spot Treatment,normal,1732.97,4.6,2284,"Official Website, Amazon",Blackheads Low Lactic Acid  Salicylic Acid  Niacinamide  Zinc PCA Spot Treatment
Clinique Toner,Cetaphil,Blackheads,Low,Zinc PCA  Azelaic Acid  Glycolic Acid,Serum,dry,355.45,3.8,3641,"Official Website, Amazon",Blackheads Low Zinc PCA  Azelaic Acid  Glycolic Acid Serum
La Roche-Posay Spot Treatment,CeraVe,"Blackheads, Dark Spot, Whiteheads",Low,Lactic Acid  Glycolic Acid  Salicylic Acid  Azelaic Acid,Moisturizer,"sensitive, combination",1307.81,4.4,755,"Dermstore, Official Website, Nykaa","Blackheads, Dark Spot, Whiteheads Low Lactic Acid  Glycolic Acid  Salicylic Acid  Azelaic Acid Moisturizer"
Bioderma Serum,Neutrogena,Blackheads,Low,Salicylic Acid  Lactic Acid  Vitamin C  Benzoyl Peroxide  Niacinamide,Serum,"sensitive, combination",1657.43,4.2,2664,"Dermstore, Amazon",Blackheads Low Salicylic Acid  Lactic Acid  Vitamin C  Benzoyl Peroxide  Niacinamide Serum
CeraVe Toner,Eucerin,"Dark Spot, Nodules, Whiteheads",Low,Retinol  Centella Asiatica  Zinc PCA  Niacinamide  Lactic Acid,Cleanser,"combination, normal, dry",2163.73,4.1,2272,Dermstore,"Dark Spot, Nodules, Whiteheads Low Retinol  Centella Asiatica  Zinc PCA  Niacinamide  Lactic Acid Cleanser"
Clinique Serum,Clinique,"Blackheads, Pustules",Low,Hyaluronic Acid  Vitamin C,Spot Treatment,"sensitive, normal",871.1,3.9,1377,"Amazon, Ulta","Blackheads, Pustules Low Hyaluronic Acid  Vitamin C Spot Treatment"
Bioderma Serum,La Roche-Posay,"Papules, Pustules",Medium,Glycolic Acid  Centella Asiatica  Niacinamide,Serum,"oily, normal",917.03,3.7,1182,Sephora,"Papules, Pustules Medium Glycolic Acid  Centella Asiatica  Niacinamide Serum"
Paula's Choice Exfoliator,Eucerin,"Blackheads, Dark Spot",Low,Centella Asiatica  Tea Tree Oil  Lactic Acid  Vitamin C,Moisturizer,"oily, combination",2556.63,4.7,2474,"Ulta, Sephora, Nykaa","Blackheads, Dark Spot Low Centella Asiatica  Tea Tree Oil  Lactic Acid  Vitamin C Moisturizer"
Cetaphil Toner,Cetaphil,"Papules, Pustules, Whiteheads",Low,Benzoyl Peroxide  Tea Tree Oil  Azelaic Acid  Lactic Acid,Exfoliator,"sensitive, normal",2339.1,4.8,158,"Official Website, Dermstore","Papules, Pustules, Whiteheads Low Benzoyl Peroxide  Tea Tree Oil  Azelaic Acid  Lactic Acid Exfoliator"
The Ordinary Spot Treatment,CeraVe,"Blackheads, Dark Spot",Low,Niacinamide  Lactic Acid  Centella Asiatica,Exfoliator,combination,658.22,3.7,1147,"Dermstore, Official Website, Nykaa","Blackheads, Dark Spot Low Niacinamide  Lactic Acid  Centella Asiatica Exfoliator"
Cetaphil Moisturizer,Cetaphil,Pustules,High,Niacinamide  Salicylic Acid  Tea Tree Oil  Azelaic Acid  Lactic Acid,Spot Treatment,"oily, dry",2217.63,3.6,232,Ulta,Pustules High Niacinamide  Salicylic Acid  Tea Tree Oil  Azelaic Acid  Lactic Acid Spot Treatment
CeraVe Moisturizer,Neutrogena,Pustules,High,Glycolic Acid  Retinol  Benzoyl Peroxide  Centella Asiatica  Hyaluronic Acid,Cleanser,combination,702.82,4.4,3270,"Sephora, Nykaa",Pustules High Glycolic Acid  Retinol  Benzoyl Peroxide  Centella Asiatica  Hyaluronic Acid Cleanser
Innisfree Cleanser,Clinique,Pustules,High,Lactic Acid  Retinol,Spot Treatment,"dry, normal, combination",506.22,4.0,4292,"Amazon, Sephora",Pustules High Lactic Acid  Retinol Spot Treatment
CeraVe Serum,Clinique,"Nodules, Papules",Medium,Glycolic Acid  Centella Asiatica  Zinc PCA,Toner,"oily, sensitive",2922.51,3.7,3676,"Official Website, Ulta, Amazon","Nodules, Papules Medium Glycolic Acid  Centella Asiatica  Zinc PCA Toner"
Paula's Choice Toner,Bioderma,"Nodules, Pustules",High,Benzoyl Peroxide  Vitamin C  Niacinamide  Lactic Acid,Cleanser,"normal, oily",2122.07,3.8,4967,"Sephora, Amazon","Nodules, Pustules High Benzoyl Peroxide  Vitamin C  Niacinamide  Lactic Acid Cleanser"
The Ordinary Cleanser,Innisfree,"Blackheads, Whiteheads",Low,Azelaic Acid  Hyaluronic Acid  Centella Asiatica  Lactic Acid,Cleanser,"oily, sensitive, normal",1854.39,4.8,3175,Ulta,"Blackheads, Whiteheads Low Azelaic Acid  Hyaluronic Acid  Centella Asiatica  Lactic Acid Cleanser"
Innisfree Serum,Eucerin,"Papules, Pustules",Medium,Vitamin C  Tea Tree Oil  Salicylic Acid  Hyaluronic Acid  Glycolic Acid,Toner,"normal, dry, oily",644.46,4.2,4099,"Nykaa, Official Website, Dermstore","Papules, Pustules Medium Vitamin C  Tea Tree Oil  Salicylic Acid  Hyaluronic Acid  Glycolic Acid Toner"
Bioderma Spot Treatment,Innisfree,"Papules, Pustules",Medium,Hyaluronic Acid  Retinol  Lactic Acid  Benzoyl Peroxide  Salicylic Acid,Exfoliator,"normal, oily, combination",2345.06,4.9,3643,"Nykaa, Sephora, Amazon","Papules, Pustules Medium Hyaluronic Acid  Retinol  Lactic Acid  Benzoyl Peroxide  Salicylic Acid Exfoliator"
CeraVe Moisturizer,CeraVe,"Blackheads, Papules, Whiteheads",Low,Zinc PCA  Centella Asiatica  Salicylic Acid  Azelaic Acid  Hyaluronic Acid,Spot Treatment,normal,1502.53,3.8,4890,Nykaa,"Blackheads, Papules, Whiteheads Low Zinc PCA  Centella Asiatica  Salicylic Acid  Azelaic Acid  Hyaluronic Acid Spot Treatment"
The Ordinary Toner,Eucerin,Dark Spot,Medium,Glycolic Acid  Tea Tree Oil  Niacinamide  Centella Asiatica,Moisturizer,"normal, combination",2308.61,4.2,4032,"Nykaa, Amazon, Ulta",Dark Spot Medium Glycolic Acid  Tea Tree Oil  Niacinamide  Centella Asiatica Moisturizer
CeraVe Moisturizer,Neutrogena,Pustules,High,Zinc PCA  Retinol  Centella Asiatica  Hyaluronic Acid  Azelaic Acid,Moisturizer,normal,2116.13,4.0,3971,Sephora,Pustules High Zinc PCA  Retinol  Centella Asiatica  Hyaluronic Acid  Azelaic Acid Moisturizer
Paula's Choice Cleanser,Cetaphil,Pustules,High,Tea Tree Oil  Vitamin C,Cleanser,"normal, dry, oily",966.25,4.5,4011,"Official Website, Amazon, Ulta",Pustules High Tea Tree Oil  Vitamin C Cleanser
La Roche-Posay Toner,Bioderma,Papules,Medium,Salicylic Acid  Centella Asiatica  Niacinamide,Serum,"normal, oily, dry",1424.52,4.3,4491,Ulta,Papules Medium Salicylic Acid  Centella Asiatica  Niacinamide Serum
Innisfree Cleanser,Paula's Choice,"Blackheads, Papules, Pustules",Low,Lactic Acid  Vitamin C  Hyaluronic Acid  Azelaic Acid  Tea Tree Oil,Moisturizer,oily,2419.0,4.5,1876,Amazon,"Blackheads, Papules, Pustules Low Lactic Acid  Vitamin C  Hyaluronic Acid  Azelaic Acid  Tea Tree Oil Moisturizer"
Cetaphil Toner,Neutrogena,"Nodules, Whiteheads",Low,Vitamin C  Zinc PCA  Salicylic Acid,Spot Treatment,"sensitive, dry, normal",1849.22,3.7,1235,Dermstore,"Nodules, Whiteheads Low Vitamin C  Zinc PCA  Salicylic Acid Spot Treatment"
Innisfree Cleanser,Bioderma,"Blackheads, Pustules, Whiteheads",Low,Salicylic Acid  Benzoyl Peroxide  Tea Tree Oil  Retinol  Vitamin C,Moisturizer,sensitive,2782.88,4.9,4973,Amazon,"Blackheads, Pustules, Whiteheads Low Salicylic Acid  Benzoyl Peroxide  Tea Tree Oil  Retinol  Vitamin C Moisturizer"
CeraVe Exfoliator,Cetaphil,Pustules,High,Hyaluronic Acid  Lactic Acid  Azelaic Acid,Cleanser,"normal, dry",968.38,3.7,1637,Dermstore,Pustules High Hyaluronic Acid  Lactic Acid  Azelaic Acid Cleanser
Innisfree Serum,Innisfree,"Nodules, Pustules, Whiteheads",Low,Salicylic Acid  Centella Asiatica  Glycolic Acid  Tea Tree Oil  Hyaluronic Acid,Moisturizer,"combination, normal, dry",1948.63,3.8,3657,Ulta,"Nodules, Pustules, Whiteheads Low Salicylic Acid  Centella Asiatica  Glycolic Acid  Tea Tree Oil  Hyaluronic Acid Moisturizer"
Innisfree Moisturizer,Clinique,"Dark Spot, Nodules, Pustules",Medium,Hyaluronic Acid  Lactic Acid  Azelaic Acid  Niacinamide  Benzoyl Peroxide,Cleanser,dry,1848.39,4.7,2120,"Dermstore, Nykaa","Dark Spot, Nodules, Pustules Medium Hyaluronic Acid  Lactic Acid  Azelaic Acid  Niacinamide  Benzoyl Peroxide Cleanser"
Neutrogena Spot Treatment,Cetaphil,"Dark Spot, Pustules, Whiteheads",Low,Hyaluronic Acid  Glycolic Acid  Tea Tree Oil,Cleanser,"sensitive, normal, dry",1526.43,4.7,4902,"Official Website, Nykaa","Dark Spot, Pustules, Whiteheads Low Hyaluronic Acid  Glycolic Acid  Tea Tree Oil Cleanser"
La Roche-Posay Exfoliator,Bioderma,"Blackheads, Pustules, Whiteheads",Low,Azelaic Acid  Salicylic Acid  Benzoyl Peroxide  Lactic Acid,Toner,"sensitive, combination, dry",2868.99,4.6,3823,"Amazon, Dermstore","Blackheads, Pustules, Whiteheads Low Azelaic Acid  Salicylic Acid  Benzoyl Peroxide  Lactic Acid Toner"
The Ordinary Cleanser,Cetaphil,Dark Spot,Medium,Tea Tree Oil  Lactic Acid,Moisturizer,"sensitive, combination",2403.48,3.5,889,"Sephora, Official Website, Ulta",Dark Spot Medium Tea Tree Oil  Lactic Acid Moisturizer
Clinique Spot Treatment,Bioderma,"Blackheads, Nodules, Whiteheads",Low,Vitamin C  Hyaluronic Acid  Tea Tree Oil  Niacinamide,Toner,"normal, oily",1688.81,4.3,4435,"Sephora, Ulta","Blackheads, Nodules, Whiteheads Low Vitamin C  Hyaluronic Acid  Tea Tree Oil  Niacinamide Toner"
CeraVe Moisturizer,Bioderma,"Pustules, Whiteheads",Low,Retinol  Lactic Acid  Zinc PCA  Hyaluronic Acid,Moisturizer,"sensitive, oily, combination",572.15,4.0,4212,"Dermstore, Official Website","Pustules, Whiteheads Low Retinol  Lactic Acid  Zinc PCA  Hyaluronic Acid Moisturizer"
Bioderma Serum,CeraVe,"Blackheads, Papules, Pustules",Low,Azelaic Acid  Vitamin C  Salicylic Acid  Tea Tree Oil  Benzoyl Peroxide,Cleanser,"sensitive, dry, combination",1449.77,4.2,4589,"Amazon, Sephora, Nykaa","Blackheads, Papules, Pustules Low Azelaic Acid  Vitamin C  Salicylic Acid  Tea Tree Oil  Benzoyl Peroxide Cleanser"
Clinique Moisturizer,Eucerin,"Blackheads, Dark Spot",Low,Centella Asiatica  Vitamin C  Tea Tree Oil,Cleanser,"sensitive, dry",2951.5,4.5,2538,"Amazon, Sephora, Official Website","Blackheads, Dark Spot Low Centella Asiatica  Vitamin C  Tea Tree Oil Cleanser"
Clinique Exfoliator,Clinique,Whiteheads,Low,Glycolic Acid  Vitamin C  Niacinamide,Moisturizer,normal,1827.31,4.9,185,"Amazon, Dermstore, Ulta",Whiteheads Low Glycolic Acid  Vitamin C  Niacinamide Moisturizer
La Roche-Posay Cleanser,Neutrogena,"Blackheads, Dark Spot, Papules",Low,Glycolic Acid  Salicylic Acid,Serum,sensitive,1654.48,3.9,3877,"Official Website, Ulta","Blackheads, Dark Spot, Papules Low Glycolic Acid  Salicylic Acid Serum"
Neutrogena Exfoliator,Clinique,"Dark Spot, Pustules",Medium,Zinc PCA  Niacinamide  Lactic Acid  Salicylic Acid,Moisturizer,sensitive,867.61,4.4,342,Amazon,"Dark Spot, Pustules Medium Zinc PCA  Niacinamide  Lactic Acid  Salicylic Acid Moisturizer"
Paula's Choice Toner,Innisfree,"Blackheads, Nodules, Whiteheads",Low,Retinol  Hyaluronic Acid  Centella Asiatica,Cleanser,"oily, sensitive",541.38,4.6,2102,Nykaa,"Blackheads, Nodules, Whiteheads Low Retinol  Hyaluronic Acid  Centella Asiatica Cleanser"
Innisfree Cleanser,Neutrogena,"Blackheads, Dark Spot, Papules",Low,Benzoyl Peroxide  Hyaluronic Acid  Glycolic Acid,Exfoliator,dry,1546.03,4.0,407,Dermstore,"Blackheads, Dark Spot, Papules Low Benzoyl Peroxide  Hyaluronic Acid  Glycolic Acid Exfoliator"
Clinique Cleanser,Innisfree,Nodules,High,Azelaic Acid  Centella Asiatica  Benzoyl Peroxide  Vitamin C  Salicylic Acid,Serum,"normal, sensitive",2804.97,4.2,4645,"Nykaa, Official Website, Dermstore",Nodules High Azelaic Acid  Centella Asiatica  Benzoyl Peroxide  Vitamin C  Salicylic Acid Serum
Clinique Exfoliator,Paula's Choice,Blackheads,Low,Hyaluronic Acid  Salicylic Acid  Lactic Acid,Toner,normal,1840.04,4.6,3004,Nykaa,Blackheads Low Hyaluronic Acid  Salicylic Acid  Lactic Acid Toner
Clinique Serum,Innisfree,"Blackheads, Dark Spot, Pustules",Low,Glycolic Acid  Niacinamide,Toner,dry,514.52,3.7,2652,Amazon,"Blackheads, Dark Spot, Pustules Low Glycolic Acid  Niacinamide Toner"
La Roche-Posay Serum,La Roche-Posay,Dark Spot,Medium,Centella Asiatica  Hyaluronic Acid,Moisturizer,"combination, oily, sensitive",2882.12,4.0,2681,"Dermstore, Amazon",Dark Spot Medium Centella Asiatica  Hyaluronic Acid Moisturizer
Neutrogena Moisturizer,Paula's Choice,"Blackheads, Dark Spot, Pustules",Low,Zinc PCA  Centella Asiatica  Lactic Acid  Glycolic Acid,Serum,"dry, sensitive",1072.11,3.8,808,Official Website,"Blackheads, Dark Spot, Pustules Low Zinc PCA  Centella Asiatica  Lactic Acid  Glycolic Acid Serum"
Clinique Toner,The Ordinary,Blackheads,Low,Niacinamide  Retinol  Benzoyl Peroxide,Exfoliator,oily,1736.66,4.2,3303,"Amazon, Nykaa, Official Website",Blackheads Low Niacinamide  Retinol  Benzoyl Peroxide Exfoliator
Neutrogena Exfoliator,Paula's Choice,"Nodules, Pustules",High,Hyaluronic Acid  Azelaic Acid  Glycolic Acid,Exfoliator,"oily, normal",2735.63,4.0,4521,Dermstore,"Nodules, Pustules High Hyaluronic Acid  Azelaic Acid  Glycolic Acid Exfoliator"
La Roche-Posay Serum,The Ordinary,"Nodules, Pustules, Whiteheads",Low,Azelaic Acid  Glycolic Acid  Tea Tree Oil  Zinc PCA  Vitamin C,Toner,"oily, combination, dry",1506.16,4.1,1596,Official Website,"Nodules, Pustules, Whiteheads Low Azelaic Acid  Glycolic Acid  Tea Tree Oil  Zinc PCA  Vitamin C Toner"
Innisfree Serum,La Roche-Posay,"Nodules, Whiteheads",Low,Retinol  Hyaluronic Acid  Azelaic Acid  Vitamin C,Exfoliator,"normal, oily, sensitive",2155.11,4.2,284,"Amazon, Sephora, Official Website","Nodules, Whiteheads Low Retinol  Hyaluronic Acid  Azelaic Acid  Vitamin C Exfoliator"
Innisfree Serum,The Ordinary,Dark Spot,Medium,Salicylic Acid  Lactic Acid,Moisturizer,"dry, normal",2921.66,4.4,3899,Ulta,Dark Spot Medium Salicylic Acid  Lactic Acid Moisturizer
Clinique Serum,Cetaphil,"Dark Spot, Nodules, Pustules",Medium,Salicylic Acid  Benzoyl Peroxide  Glycolic Acid,Serum,"normal, sensitive, dry",1282.82,4.1,1608,"Official Website, Dermstore","Dark Spot, Nodules, Pustules Medium Salicylic Acid  Benzoyl Peroxide  Glycolic Acid Serum"
Neutrogena Moisturizer,Cetaphil,"Blackheads, Dark Spot",Low,Centella Asiatica  Benzoyl Peroxide,Serum,"dry, normal, combination",408.41,4.9,3927,"Amazon, Official Website","Blackheads, Dark Spot Low Centella Asiatica  Benzoyl Peroxide Serum"
Cetaphil Serum,CeraVe,"Papules, Pustules",Medium,Retinol  Lactic Acid  Niacinamide  Centella Asiatica,Exfoliator,dry,1193.12,4.1,1764,Sephora,"Papules, Pustules Medium Retinol  Lactic Acid  Niacinamide  Centella Asiatica Exfoliator"
La Roche-Posay Toner,Paula's Choice,Papules,Medium,Niacinamide  Lactic Acid  Salicylic Acid  Azelaic Acid  Retinol,Spot Treatment,"normal, dry, sensitive",317.61,4.8,2398,"Nykaa, Amazon",Papules Medium Niacinamide  Lactic Acid  Salicylic Acid  Azelaic Acid  Retinol Spot Treatment
The Ordinary Serum,Cetaphil,"Dark Spot, Nodules, Papules",Medium,Lactic Acid  Salicylic Acid  Tea Tree Oil,Exfoliator,normal,2184.36,4.4,3853,"Ulta, Official Website, Sephora","Dark Spot, Nodules, Papules Medium Lactic Acid  Salicylic Acid  Tea Tree Oil Exfoliator"
Innisfree Moisturizer,CeraVe,"Dark Spot, Nodules",Medium,Retinol  Vitamin C  Tea Tree Oil  Centella Asiatica,Moisturizer,"normal, oily",2490.17,3.9,2082,Amazon,"Dark Spot, Nodules Medium Retinol  Vitamin C  Tea Tree Oil  Centella Asiatica Moisturizer"
Cetaphil Moisturizer,La Roche-Posay,"Blackheads, Dark Spot",Low,Vitamin C  Salicylic Acid  Glycolic Acid  Zinc PCA,Cleanser,normal,1889.92,4.8,998,Official Website,"Blackheads, Dark Spot Low Vitamin C  Salicylic Acid  Glycolic Acid  Zinc PCA Cleanser"
The Ordinary Spot Treatment,Cetaphil,Papules,Medium,Azelaic Acid  Hyaluronic Acid,Exfoliator,"oily, dry, sensitive",2975.61,3.8,867,Official Website,Papules Medium Azelaic Acid  Hyaluronic Acid Exfoliator
Cetaphil Toner,Clinique,Blackheads,Low,Centella Asiatica  Zinc PCA,Moisturizer,"sensitive, dry",592.56,4.8,546,Nykaa,Blackheads Low Centella Asiatica  Zinc PCA Moisturizer
Eucerin Spot Treatment,Eucerin,"Blackheads, Whiteheads",Low,Vitamin C  Zinc PCA  Centella Asiatica,Toner,oily,1562.64,4.3,850,"Ulta, Nykaa","Blackheads, Whiteheads Low Vitamin C  Zinc PCA  Centella Asiatica Toner"
Innisfree Exfoliator,Innisfree,Pustules,High,Centella Asiatica  Zinc PCA  Niacinamide  Benzoyl Peroxide  Retinol,Serum,sensitive,1511.56,4.6,1368,"Dermstore, Sephora",Pustules High Centella Asiatica  Zinc PCA  Niacinamide  Benzoyl Peroxide  Retinol Serum
Clinique Moisturizer,Clinique,Pustules,High,Glycolic Acid  Benzoyl Peroxide  Tea Tree Oil,Toner,normal,2864.56,4.9,3542,Sephora,Pustules High Glycolic Acid  Benzoyl Peroxide  Tea Tree Oil Toner
CeraVe Serum,Neutrogena,Papules,Medium,Glycolic Acid  Azelaic Acid  Vitamin C  Benzoyl Peroxide  Tea Tree Oil,Moisturizer,dry,787.84,4.6,4828,"Sephora, Official Website, Dermstore",Papules Medium Glycolic Acid  Azelaic Acid  Vitamin C  Benzoyl Peroxide  Tea Tree Oil Moisturizer
Bioderma Moisturizer,Bioderma,"Nodules, Whiteheads",Low,Tea Tree Oil  Salicylic Acid  Niacinamide,Serum,normal,1272.02,4.9,2095,"Dermstore, Official Website","Nodules, Whiteheads Low Tea Tree Oil  Salicylic Acid  Niacinamide Serum"
CeraVe Exfoliator,The Ordinary,"Blackheads, Nodules, Pustules",Low,Centella Asiatica  Hyaluronic Acid,Spot Treatment,"combination, dry",2697.24,3.7,1484,"Dermstore, Sephora","Blackheads, Nodules, Pustules Low Centella Asiatica  Hyaluronic Acid Spot Treatment"
CeraVe Exfoliator,Cetaphil,"Nodules, Papules",Medium,Zinc PCA  Benzoyl Peroxide  Niacinamide  Salicylic Acid,Cleanser,normal,2418.38,4.5,2083,"Official Website, Nykaa","Nodules, Papules Medium Zinc PCA  Benzoyl Peroxide  Niacinamide  Salicylic Acid Cleanser"
Clinique Toner,CeraVe,"Dark Spot, Nodules, Pustules",Medium,Salicylic Acid  Benzoyl Peroxide  Centella Asiatica  Hyaluronic Acid,Serum,sensitive,2114.51,4.9,669,Dermstore,"Dark Spot, Nodules, Pustules Medium Salicylic Acid  Benzoyl Peroxide  Centella Asiatica  Hyaluronic Acid Serum"
Bioderma Spot Treatment,Cetaphil,"Dark Spot, Nodules, Pustules",Medium,Benzoyl Peroxide  Hyaluronic Acid  Centella Asiatica  Azelaic Acid  Lactic Acid,Serum,combination,2865.51,4.7,4009,"Sephora, Amazon","Dark Spot, Nodules, Pustules Medium Benzoyl Peroxide  Hyaluronic Acid  Centella Asiatica  Azelaic Acid  Lactic Acid Serum"
Innisfree Cleanser,CeraVe,Pustules,High,Azelaic Acid  Benzoyl Peroxide  Tea Tree Oil  Niacinamide  Hyaluronic Acid,Exfoliator,"dry, normal",923.7,4.6,724,"Official Website, Nykaa, Sephora",Pustules High Azelaic Acid  Benzoyl Peroxide  Tea Tree Oil  Niacinamide  Hyaluronic Acid Exfoliator
Paula's Choice Spot Treatment,Clinique,"Dark Spot, Nodules, Pustules",Medium,Benzoyl Peroxide  Vitamin C  Tea Tree Oil  Retinol,Cleanser,"dry, oily",1265.62,3.8,3925,Nykaa,"Dark Spot, Nodules, Pustules Medium Benzoyl Peroxide  Vitamin C  Tea Tree Oil  Retinol Cleanser"
Bioderma Cleanser,Innisfree,Pustules,High,Zinc PCA  Centella Asiatica  Vitamin C  Azelaic Acid  Tea Tree Oil,Toner,normal,1833.68,3.9,3011,Official Website,Pustules High Zinc PCA  Centella Asiatica  Vitamin C  Azelaic Acid  Tea Tree Oil Toner
Paula's Choice Serum,CeraVe,"Pustules, Whiteheads",Low,Vitamin C  Benzoyl Peroxide,Cleanser,"normal, dry, oily",1894.23,4.1,415,"Amazon, Official Website","Pustules, Whiteheads Low Vitamin C  Benzoyl Peroxide Cleanser"
Bioderma Cleanser,CeraVe,Blackheads,Low,Niacinamide  Glycolic Acid  Centella Asiatica  Vitamin C,Exfoliator,"dry, sensitive",2545.84,4.4,2369,"Amazon, Sephora, Nykaa",Blackheads Low Niacinamide  Glycolic Acid  Centella Asiatica  Vitamin C Exfoliator
Cetaphil Cleanser,The Ordinary,Nodules,High,Zinc PCA  Niacinamide  Retinol  Vitamin C  Azelaic Acid,Spot Treatment,normal,549.85,4.5,1734,"Amazon, Ulta, Nykaa",Nodules High Zinc PCA  Niacinamide  Retinol  Vitamin C  Azelaic Acid Spot Treatment
Bioderma Toner,The Ordinary,"Dark Spot, Whiteheads",Low,Centella Asiatica  Azelaic Acid  Tea Tree Oil,Exfoliator,"normal, oily",2934.96,4.6,4959,"Nykaa, Ulta, Official Website","Dark Spot, Whiteheads Low Centella Asiatica  Azelaic Acid  Tea Tree Oil Exfoliator"
Cetaphil Cleanser,Innisfree,Dark Spot,Medium,Retinol  Azelaic Acid  Glycolic Acid  Centella Asiatica  Hyaluronic Acid,Serum,"normal, sensitive, oily",1376.96,4.3,2602,"Ulta, Amazon",Dark Spot Medium Retinol  Azelaic Acid  Glycolic Acid  Centella Asiatica  Hyaluronic Acid Serum
Clinique Cleanser,Clinique,Pustules,High,Tea Tree Oil  Hyaluronic Acid  Benzoyl Peroxide,Spot Treatment,dry,2400.37,4.1,1635,"Dermstore, Nykaa, Ulta",Pustules High Tea Tree Oil  Hyaluronic Acid  Benzoyl Peroxide Spot Treatment
CeraVe Moisturizer,Paula's Choice,"Blackheads, Pustules",Low,Retinol  Azelaic Acid  Salicylic Acid  Glycolic Acid,Cleanser,"dry, oily, combination",1681.7,4.9,3969,"Sephora, Ulta, Official Website","Blackheads, Pustules Low Retinol  Azelaic Acid  Salicylic Acid  Glycolic Acid Cleanser"
The Ordinary Serum,CeraVe,"Papules, Pustules",Medium,Vitamin C  Retinol,Exfoliator,combination,744.13,4.1,231,Nykaa,"Papules, Pustules Medium Vitamin C  Retinol Exfoliator"
La Roche-Posay Cleanser,Paula's Choice,"Dark Spot, Pustules, Whiteheads",Low,Vitamin C  Azelaic Acid  Retinol  Zinc PCA,Exfoliator,"dry, oily, sensitive",1545.51,4.2,1326,Official Website,"Dark Spot, Pustules, Whiteheads Low Vitamin C  Azelaic Acid  Retinol  Zinc PCA Exfoliator"
